Entity,source,event,sport_category,count
Andy Murray,"['Express', 'Tennishead', 'Tennishead', 'Express', 'Express', 'Express', 'Tennishead', 'Tennishead', 'Express', 'Tennishead', 'Tennishead', 'Tennishead', 'Tennishead', 'Tennishead', 'Express']","['Australian Open ', 'ATP Tour ', 'US Open ', 'US Open ', 'US Open ', 'Wimbledon ', 'Wimbledon ', 'Olympic Tennis Tournament ', 'Olympic Tennis Tournament ', 'ATP Finals ', 'ATP Masters 1000 Series ', 'Shanghai Masters ', 'Paris Masters ', 'Paris Masters ', 'The Masters ']",Tennis,15
NASCAR,"['Beyond the Flag', 'Autoweek', 'EssentiallySports', 'EssentiallySports', 'San Francisco Chronicle', 'EssentiallySports', 'The Sportsrush', 'Rutland Herald', 'The Dominion Post', 'USA Today', 'Ifantasyrace.com', 'San Francisco Chronicle']","['NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ']",Motorsports,12
Carlos Alcaraz,"['Lob and Smash', 'TennisUpToDate.com', 'Lob and Smash', 'TennisUpToDate.com', 'Lob and Smash', 'TennisUpToDate.com', 'ATP Tour', 'Sky Sports', 'ATP Tour', 'Lob and Smash']","['Olympic Tennis Tournament ', 'ATP Finals ', 'Shanghai Masters ', 'Shanghai Masters ', 'Paris Masters ', 'Paris Masters ', 'Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ', 'Summer Olympics ']",Tennis,10
Shakhtar Donetsk,"['Wimbledon Guardian', 'sportsmax.tv', 'CBS Sports', 'AS USA', 'Ahram Online', 'Ahram Online', 'Brisbane Times', 'NJ.com', 'CBS Sports']","['Wimbledon ', 'Madrid Open ', 'UEFA Europa League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Euro ', 'La Liga ']",Tennis,9
Rafael Nadal,"['Express', 'Sportskeeda', 'Sportskeeda', 'Lob and Smash', 'Sportskeeda', 'Lob and Smash', 'Lob and Smash', 'Express', 'Lob and Smash']","['Australian Open ', 'French Open (Roland Garros) ', 'ATP Tour ', 'Olympic Tennis Tournament ', 'ATP Finals ', 'Shanghai Masters ', 'Paris Masters ', 'The Masters ', 'Summer Olympics ']",Tennis,9
Messi,"['AS USA', 'Eurosport COM', 'Eurosport COM', 'Eurosport COM', 'AS USA', 'Eurosport COM', 'Eurosport COM', 'Nerd Street Gamers']","['Miami Open ', 'MotoGP ', 'UEFA Europa League ', 'UEFA Champions League ', 'Copa Libertadores ', 'EPL ', 'Ligue 1 ', 'ESports ']",Tennis,8
Atletico Madrid,"['Sporting News', 'VAVEL.com', 'BBC', 'Eurosport COM', 'Sports Illustrated', 'SuperSport', 'Yahoo News UK', 'The Standard']","['Madrid Open ', 'Madrid Open ', 'Ryder Cup ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'La Liga ', 'La Liga ']",Tennis,8
Glenn Maxwell,"['Wimbledon Guardian', 'The Times', 'ESPNcricinfo', 'Mint', 'The Hindu', 'ESPNcricinfo', 'Sportstar', 'ANI News']","['Wimbledon ', 'The Ashes ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ']",Tennis,8
Odds,"['Sports Illustrated', 'Covers', 'Football Italia', 'Football Italia', 'Football Italia', 'Football Italia']","['Miami Open ', 'EPL ', 'Serie A ', 'Serie A ', 'Serie A ', 'Serie A ']",Tennis,6
Bonna,"['The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star']","['US Open ', 'ATP Finals ', 'ATP Masters 1000 Series ', 'Shanghai Masters ', 'Paris Masters ', 'The Masters ']",Tennis,6
Billy Harris,"['BBC', 'BBC', 'The Times', 'Yahoo News Canada', 'Yahoo Sports', 'Sports Mole']","['Davis Cup ', 'Australian Open ', 'ATP Tour ', 'ATP Tour ', 'ATP Finals ', 'ATP Finals ']",Tennis,6
Rory McIlroy,"['NBC Sports', 'Golfmagic.com', 'The Mirror', 'talkSPORT', 'The Irish Sun', 'The Mirror']","['NBA ', 'The Masters ', 'Ryder Cup ', 'Ryder Cup ', 'Ryder Cup ', 'Thomas Cup ']",Basketball,6
LeBron James,"['BBC', 'Sports Illustrated', 'Yahoo Sports', 'talkSPORT', 'KABC-TV', 'TheStreet']","['NBA ', 'NBA ', 'NBA ', 'NBA ', 'Miami Open ', 'Miami Open ']",Basketball,6
Paula Badosa,"['Sportskeeda', 'Sportskeeda', 'Sportskeeda', 'TennisUpToDate.com', 'TennisUpToDate.com', 'ATP Tour']","['ATP Tour ', 'US Open ', 'ATP Finals ', 'WTA Finals ', 'Paris Masters ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,6
Gianluigi Donnarumma,"['Daily Mail', 'Eurosport COM', 'Eurosport COM', 'Eurosport COM', 'Eurosport COM']","['All England Championships ', 'UEFA Euro ', 'MotoGP ', 'UEFA Europa League ', 'UEFA Euro ']",Badminton,5
Doku,"['Premier League', 'ESPN', 'ESPN', 'ESPN', 'ESPN']","['EPL ', 'La Liga ', 'Bundesliga ', 'Serie A ', 'Ligue 1 ']",Soccer (Football),5
Panam Sports,"['The Sports Examiner', 'The Sports Examiner', 'The Sports Examiner', 'The Sports Examiner', 'The Sports Examiner']","['WTA Tour ', 'Olympic Tennis Tournament ', 'WTA Finals ', 'Thomas Cup ', 'Winter Olympics ']",Tennis,5
Man Utd,"['SportsLine', 'SportsLine', 'SportsLine', 'SportsLine', 'FootballTransfers']","['UEFA Euro ', 'UEFA Europa League ', 'UEFA Champions League ', 'UEFA Euro ', 'Serie A ']",Soccer (Football),5
John McEnroe,"['Intercollegiate Tennis Association', 'Intercollegiate Tennis Association', 'TennisUpToDate.com', 'TennisUpToDate.com', 'TennisUpToDate.com']","['WTA Tour ', 'ATP Tour ', 'ATP Finals ', 'Shanghai Masters ', 'Paris Masters ']",Tennis,5
Rams,"['Turf Show Times', 'The Guardian', 'Yahoo Sports', 'NBC 5 Dallas-Fort Worth', 'Rams Wire']","['Super Bowl ', 'NFL ', 'NFL ', 'NFL ', 'NFL ']",American Football,5
John Stones,"['Wimbledon Guardian', 'Sky Sports', 'Eurosport COM', 'Eurosport COM', 'beIN SPORTS']","['Wimbledon ', 'UEFA Euro ', 'MotoGP ', 'UEFA Europa League ', 'UEFA Champions League ']",Tennis,5
Ben Shelton,"['Stuff', 'New Zealand Herald', 'Stuff', 'Stuff', 'ESPN']","['Australian Open ', 'US Open ', 'ATP Masters 1000 Series ', 'Shanghai Masters ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,5
Craig Counsell,"['NBC Sports Chicago', 'Yahoo Sports', 'Bleacher Report', 'Sports Illustrated', 'MLB.com']","['Stanley Cup ', 'Stanley Cup ', 'MLB ', 'MLB ', 'MLB ']",Ice Hockey,5
Liz Smylie,"['The West Australian', 'The West Australian', 'The West Australian', 'The West Australian']","['Australian Open ', 'US Open ', 'Wimbledon ', 'Fed Cup ']",Tennis,4
Harry Kane,"['sportsmax.tv', 'beIN SPORTS', 'Sky Sports', 'Modern Ghana']","['All England Championships ', 'UEFA Champions League ', 'Bundesliga ', 'Bundesliga ']",Badminton,4
Serena Williams,"['Sportskeeda', 'TennisUpToDate.com', 'TennisUpToDate.com', 'Tennis World USA']","['Australian Open ', 'WTA Finals ', 'Paris Masters ', 'Paris Masters ']",Tennis,4
Jessica Pegula,"['CNN', 'Yahoo Canada Sports', 'EssentiallySports', 'The Cincinnati Enquirer']","['WTA Tour ', 'WTA Finals ', 'WTA Finals ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,4
Sinner,"['TennisUpToDate.com', 'TennisUpToDate.com', 'TennisUpToDate.com', 'TennisUpToDate.com']","['Australian Open ', 'US Open ', 'ATP Masters 1000 Series ', 'Paris Masters ']",Tennis,4
Trevor Hudgins,"['Eurohoops', 'Eurohoops', 'Hoops Hype', 'Eurohoops']","['UEFA Euro ', '24 Hours of Le Mans ', '24 Hours of Le Mans ', 'UEFA Euro ']",Soccer (Football),4
Homa safari,"['Golf.com', 'Golf.com', 'Golf.com', 'Golf.com']","['US Open ', 'The Masters ', 'Ryder Cup ', 'Thomas Cup ']",Tennis,4
Ryan Blaney,"['Yahoo Sports', 'Beyond the Flag', 'FOX Sports', 'WLS']","['NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ']",Motorsports,4
Andrey Rublev,"['Tennis Magazine', 'Tennis Magazine', 'Tennis Magazine', 'Tennis Magazine']","['ATP Tour ', 'ATP Finals ', 'ATP Masters 1000 Series ', 'Paris Masters ']",Tennis,4
Sergio Ramos,"['beIN SPORTS', 'Football.co.uk', 'BBC', 'beIN SPORTS']","['UEFA Europa League ', 'UEFA Europa League ', 'UEFA Champions League ', 'UEFA Champions League ']",Soccer (Football),4
Angelo Mathews,"['ESPN', 'The Independent', 'Fox Sports', 'GQ India']","['US Open ', 'The Ashes ', 'ICC Cricket ', 'IPL ']",Tennis,4
Girona,"['AS USA', 'AS USA', 'Tribal Football', 'Football.co.uk']","['UEFA Europa League ', 'UEFA Champions League ', 'La Liga ', 'La Liga ']",Soccer (Football),4
Mike Elias,"['MASNsports.com', 'CBS News', 'Citizentribune', 'LNP | LancasterOnline']","['MLB ', 'MLB ', 'MLB ', 'MLB ']",Baseball,4
Canadiens,"['WWSB', 'WWSB', 'WWSB', 'WWSB']","['NHL ', 'NHL ', 'NHL ', 'NHL ']",Ice Hockey,4
Tab,"['The Age', 'The Age', 'The Age', 'The Age']","['Davis Cup ', 'Australian Open ', 'NRL ', 'AFL ']",Tennis,4
Novak Djokovic,"['msnNOW', 'Tennis365', 'Tennishead', 'Forbes']","['Davis Cup ', 'Australian Open ', 'ATP Tour ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,4
Kane,"['ESPN', 'ESPN', 'ESPN', 'ESPN']","['La Liga ', 'Bundesliga ', 'Serie A ', 'Ligue 1 ']",Soccer (Football),4
Uncle Toni,"['Lob and Smash', 'Lob and Smash', 'Lob and Smash', 'Lob and Smash']","['Olympic Tennis Tournament ', 'Shanghai Masters ', 'Paris Masters ', 'Summer Olympics ']",Tennis,4
Steve Smith,"['Yahoo Sports', 'Yahoo Sports', 'Times Now', 'Yahoo Sports']","['Davis Cup ', 'NASCAR ', 'ICC Cricket ', 'ICC Cricket ']",Tennis,4
Bill Belichick,"['CBS Sports', 'Yardbarker', 'New York Post', 'CBS Sports']","['Super Bowl ', 'Super Bowl ', 'Super Bowl ', 'NFL ']",American Football,4
Ravens,"['The Killeen Daily Herald', 'Yahoo Sports', 'Yahoo Sports', 'CBS Sports']","['Super Bowl ', 'Super Bowl ', 'NFL ', 'NFL ']",American Football,4
Roger Federer,"['Daily Mail', 'Sportskeeda', 'Sportskeeda', 'Daily Mail']","['Davis Cup ', 'ATP Tour ', 'ATP Finals ', 'Paris Masters ']",Tennis,4
Tiger Woods,"['Sports Illustrated', 'ABC News', 'Geo News', 'Fortune']","['The Masters ', 'The Masters ', 'The Masters ', 'Ryder Cup ']",Golf,4
ATP Sofia,"['Last Word On Sports', 'Last Word On Sports', 'tennisnet.com', 'Yardbarker']","['Australian Open ', 'French Open (Roland Garros) ', 'ATP Tour ', 'ATP Finals ']",Tennis,4
Jude Bellingham,"['Sunday World', 'sportsmax.tv', 'talkSPORT', 'Sportskeeda']","['Madrid Open ', 'Thomas Cup ', 'La Liga ', 'La Liga ']",Tennis,4
Lorenzo Musetti,"['Last Word On Sports', 'Last Word On Sports', 'Yardbarker', 'TennisUpToDate.com']","['Australian Open ', 'French Open (Roland Garros) ', 'ATP Finals ', 'Paris Masters ']",Tennis,4
Jack Draper,"['Last Word On Sports', 'Last Word On Sports', 'Sports Mole', 'Yardbarker']","['Australian Open ', 'French Open (Roland Garros) ', 'ATP Finals ', 'ATP Finals ']",Tennis,4
Brendon Hartley,"['Diariomotor', '1000 Cuori Rossoblu', '1000 Cuori Rossoblu']","['24 Hours of Le Mans ', '24 Hours of Le Mans ', 'Formula E ']",Motorsports,3
Nedbank Golf Challenge - Articles,"['DP World Tour', 'DP World Tour', 'DP World Tour']","['Madrid Open ', 'Ryder Cup ', 'Thomas Cup ']",Tennis,3
Coco Gauff,"['HOLA! USA', 'HOLA! USA', 'EssentiallySports']","['US Open ', 'WTA Finals ', 'WTA Finals ']",Tennis,3
Expert Picks,"['DP World Tour', 'DP World Tour', 'DP World Tour']","['Madrid Open ', 'Ryder Cup ', 'Thomas Cup ']",Tennis,3
Holger Rune Gets,"['EssentiallySports', 'EssentiallySports', 'EssentiallySports']","['ATP Tour ', 'ATP Finals ', 'Paris Masters ']",Tennis,3
Pepe,"['Daily Mail', 'Eurosport COM', 'Eurosport COM']","['UEFA Euro ', 'MotoGP ', 'UEFA Europa League ']",Soccer (Football),3
Justin Alston,"['Eurohoops', 'Eurohoops', 'Eurohoops']","['UEFA Euro ', '24 Hours of Le Mans ', 'UEFA Euro ']",Soccer (Football),3
Shakib,"['Business Recorder', 'ESPNcricinfo', 'The Daily Star']","['Fed Cup ', 'ICC Cricket ', 'ICC Cricket ']",Tennis,3
Jim Ratcliffe,"['The Mirror', 'The Mirror', 'The Sun']","['Dakar Rally ', 'UEFA Europa League ', 'Ligue 1 ']",Motorsports,3
Braga,"['sportsmax.tv', 'SportsLine', 'Sportstar']","['Thomas Cup ', 'UEFA Europa League ', 'UEFA Champions League ']",Badminton,3
Sports,"['Barre Montpelier Times Argus', 'Pennsylvania State University', 'Pennsylvania State University']","['Miami Open ', 'The Masters ', 'Kentucky Derby ']",Tennis,3
Chelsea,"['Football.London', 'Sky Sports', 'Goal.com']","['Thomas Cup ', 'EPL ', 'EPL ']",Badminton,3
Anthony Taylor,"['The Mirror', 'World Soccer Talk', 'Liverpool Echo']","['UEFA Europa League ', 'EPL ', 'EPL ']",Soccer (Football),3
Diego Simeone,"['Buenos Aires Herald', 'Buenos Aires Herald', 'Buenos Aires Herald']","['Thomas Cup ', 'UEFA Europa League ', 'Copa Libertadores ']",Badminton,3
Grace Hayden,"['Cricket Times', 'Cricket Times', 'Cricket Times']","['Thomas Cup ', 'ICC Cricket ', 'IPL ']",Badminton,3
Venus Williams,"['Tennis World USA', 'The Cincinnati Enquirer', 'Last Word On Sports']","['Paris Masters ', 'Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,3
Jason Teh KL,"['The Independent', 'The Independent', 'The Independent']","['BWF World Championships ', 'Olympic Badminton ', 'Asian Games Badminton ']",Badminton,3
James Harden,"['NBA.com', 'Firstpost', 'KFGO']","['NBA ', 'NBA ', 'Miami Open ']",Basketball,3
Victor Wembanyama,"['Yahoo Sports', 'KXAN.com', 'TSN']","['NBA ', 'NBA ', 'NBA ']",Basketball,3
Thomas Tuchel,"['sportsmax.tv', 'Bayern Strikes', 'beIN SPORTS']","['All England Championships ', 'Thomas Cup ', 'UEFA Champions League ']",Badminton,3
Kieran Reilly,"['Wimbledon Guardian', 'Stadium Astro', 'sportsmax.tv']","['Wimbledon ', 'All England Championships ', 'Summer Olympics ']",Tennis,3
Roy Hodgson,"['Sports Brief', 'Sports Brief', 'Sports Brief']","['All England Championships ', 'UEFA Euro ', 'UEFA Euro ']",Badminton,3
Ageless Giroud,"['LiveScore', 'LiveScore', 'LiveScore']","['UEFA Euro ', 'UEFA Euro ', 'Serie A ']",Soccer (Football),3
Australia Smith,"['Arab News', 'Arab News', 'Arab News Pakistan']","['Fed Cup ', 'Madrid Open ', 'All England Championships ']",Tennis,3
Mark Zahra,"['Yahoo Sports', 'Yahoo Sports', 'Wide World of Sports']","['Davis Cup ', 'NASCAR ', 'NRL ']",Tennis,3
Brittney Griner,"['CNN', 'Houston Chronicle', 'The Arizona Republic']","['Summer Olympics ', 'Summer Olympics ', 'Summer Olympics ']",Olympics,3
Roberto Bautista Agut Wins Epic,"['ATP Tour', 'ATP Tour', 'ATP Tour']","['Australian Open ', 'ATP Tour ', 'US Open ']",Tennis,3
Man United,"['Yardbarker', 'World Soccer Talk', 'World Soccer Talk']","['EPL ', 'EPL ', 'Ligue 1 ']",Soccer (Football),3
Leeds United,"['Yahoo News UK', 'GIVEMESPORT', 'Football League World']","['EPL ', 'EPL ', 'La Liga ']",Soccer (Football),3
Aston Villa,"['Yahoo Eurosport UK', 'GIVEMESPORT', 'Yahoo News UK']","['Copa Libertadores ', 'UEFA Euro ', 'EPL ']",Soccer (Football),3
Ivan Ljubičić,"['Spark Chronicles', 'Spark Chronicles', 'Spark Chronicles']","['Davis Cup ', 'French Open (Roland Garros) ', 'Olympic Tennis Tournament ']",Tennis,3
Hotshot American,"['Stuff', 'Stuff', 'Stuff']","['Australian Open ', 'ATP Masters 1000 Series ', 'Shanghai Masters ']",Tennis,3
Bellingham,"['LondonWorld', 'ESPN', 'ESPN']","['UEFA Euro ', 'La Liga ', 'Bundesliga ']",Soccer (Football),3
Girona - ESPN,"['ESPN', 'ESPN', 'ESPN']","['La Liga ', 'Bundesliga ', 'Ligue 1 ']",Soccer (Football),3
Williams,"['EssentiallySports', 'The Cincinnati Enquirer', 'Williams Racing']","['WTA Tour ', 'Cincinnati Masters (Western & Southern Open) ', 'ESports ']",Tennis,3
Elena Rybakina,"['Khel Now', 'Khel Now', 'Tennis Magazine']","['Australian Open ', 'WTA Finals ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,3
Serie A,"['Sportskeeda', 'Liverpool Echo', 'Sportskeeda']","['La Liga ', 'Serie A ', 'Serie A ']",Soccer (Football),3
Iga Swiatek,"['Sportskeeda', 'AS USA', 'Yardbarker']","['French Open (Roland Garros) ', 'French Open (Roland Garros) ', 'WTA Finals ']",Tennis,3
Juan ...,"['Clay - Historias de tenis', 'Clay - Historias de tenis', 'Clay - Historias de tenis']","['French Open (Roland Garros) ', 'ATP Tour ', 'Miami Open ']",Tennis,3
Shohei Ohtani,"['CBS Sports', 'FOX Sports', 'USA TODAY']","['MLB ', 'MLB ', 'MLB ']",Baseball,3
Blake Snell,"['CBS Sports', 'RotoBaller']","['MLB ', 'MLB ']",Baseball,2
James Rowson,"['MLB Trade Rumors', 'The Athletic']","['MLB ', 'MLB ']",Baseball,2
Art Eckman,"['11Alive.com WXIA', 'Racer X Online']","['The Masters ', 'Indy 500 ']",Golf,2
Martha Vineyard News,"[""The Vineyard Gazette - Martha's Vineyard News"", ""The Vineyard Gazette - Martha's Vineyard News""]","['Cincinnati Masters (Western & Southern Open) ', 'Kentucky Derby ']",Tennis,2
JJ Wolf,"['The Cincinnati Enquirer', 'The Cincinnati Enquirer']","['Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ']",Tennis,2
Shohei,"['Chattanooga Times Free Press', 'Chattanooga Times Free Press']","['Super Bowl ', 'NFL ']",American Football,2
Stuart Broad,"['The Guardian', 'Wide World of Sports']","['The Ashes ', 'The Ashes ']",Cricket,2
Jiri Prochazka,"['CBS Sports', 'CBS Sports']","['The Masters ', 'Kentucky Derby ']",Golf,2
Alex Pereira,"['CBS Sports', 'CBS Sports']","['The Masters ', 'Kentucky Derby ']",Golf,2
Broncos,"['The Denver Post', 'The Athletic']","['Super Bowl ', 'AFL ']",American Football,2
Brian Cashman,"['sny.tv', 'ClutchPoints']","['The Ashes ', 'WRC ']",Cricket,2
Matthew Mott,"['Sky Sports', 'ESPNcricinfo']","['The Ashes ', 'ICC Cricket ']",Cricket,2
Babar Azam,"['ETV Bharat', 'India Today']","['The Ashes ', 'ICC Cricket ']",Cricket,2
Kotaku,"['The Verge', 'The Verge']","['The Ashes ', 'ESports ']",Cricket,2
WR Martavis Bryant,"['Yahoo Sports', 'Yardbarker']","['NFL ', 'CBA ']",American Football,2
Checked Bags,"['ksisradio.com', 'wobm.com']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Matt Wolf,"['Filmmaker Magazine', 'Filmmaker Magazine']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Everett Man Wins,"['newstalk870.am', 'newstalk870.am']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Halston Media,"['TAPinto.net', 'TAPinto.net']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Miami Dolphins,"['gulflive.com', 'Sky Sports']","['Super Bowl ', 'NFL ']",American Football,2
EPL,"['Daily Post Nigeria', 'Daily Post Nigeria']","['EPL ', 'EPL ']",Soccer (Football),2
midseason,"['FOX Sports', 'FOX Sports']","['Super Bowl ', 'NFL ']",American Football,2
Lamar Jackson,"['BaltimoreRavens.com', 'Pro Football Focus']","['Super Bowl ', 'NFL ']",American Football,2
Luton,"['ESPN', 'Empire of The Kop']","['Bundesliga ', 'Ligue 1 ']",Soccer (Football),2
Joelinton,"['The Telegraph', 'Goal.com']","['Fed Cup ', 'UEFA Champions League ']",Tennis,2
Klopp,"['TEAMtalk', 'TEAMtalk']","['Bundesliga ', 'Serie A ']",Soccer (Football),2
Serhou Guirassy Will Be,"['Forbes', 'Forbes']","['Bundesliga ', 'Ligue 1 ']",Soccer (Football),2
LaLiga,"['FC Barcelona Noticias', 'msnNOW']","['La Liga ', 'La Liga ']",Soccer (Football),2
Erik,"['Yahoo News UK', 'theScore']","['Madrid Open ', 'EPL ']",Tennis,2
Suffer Defeat,"['SNL24', 'SNL24']","['Madrid Open ', 'UEFA Champions League ']",Tennis,2
Soccer Laduma,"['SNL24', 'SNL24']","['Madrid Open ', 'UEFA Champions League ']",Tennis,2
Al-Nassr,"['Arab News', 'Arab News']","['Madrid Open ', 'UEFA Europa League ']",Tennis,2
Ange Postecoglou,"['sportsmax.tv', 'The Mirror']","['Madrid Open ', 'UEFA Europa League ']",Tennis,2
Jones,"['Sports Illustrated', 'Sports Illustrated']","['Miami Open ', 'Miami Open ']",Tennis,2
Vinicius Jr,"['Sports Brief', 'FC Barcelona Noticias']","['La Liga ', 'La Liga ']",Soccer (Football),2
Ron DeSantis,"['CBS Miami', 'KANW']","['Miami Open ', 'The Masters ']",Tennis,2
Daniel Sturridge,"['talkSPORT', 'Yahoo Sports']","['EPL ', 'Ligue 1 ']",Soccer (Football),2
Cass,"['pharostribune.com', 'Cleburne Times-Review']","['Miami Open ', 'Miami Open ']",Tennis,2
Maconaquah,"['pharostribune.com', 'Cleburne Times-Review']","['Miami Open ', 'Miami Open ']",Tennis,2
Grigor Dimitrov,"['TennisUpToDate.com', 'Tennis World USA']","['Paris Masters ', 'Paris Masters ']",Tennis,2
Stephen A. Smith,"['Athlon Sports', 'Sportskeeda']","['Super Bowl ', 'Super Bowl ']",American Football,2
Carson Wentz,"['KABC-TV', 'NBC 5 Dallas-Fort Worth']","['Super Bowl ', 'NFL ']",American Football,2
Evason Pregame,"['NHL.com', 'NHL.com']","['Stanley Cup ', 'NHL ']",Ice Hockey,2
Gary Neville,"['Sky Sports', 'msnNOW']","['EPL ', 'EPL ']",Soccer (Football),2
Terry Bradshaw,"['TribLIVE', 'CBS News']","['Super Bowl ', 'NFL ']",American Football,2
Marlins,"['MLB.com', 'MLB.com']","['MLB ', 'MLB ']",Baseball,2
Edmonton Oilers,"['Sportskeeda', 'Last Word On Sports']","['Stanley Cup ', 'NHL ']",Ice Hockey,2
Benfica,"['SportsLine', 'SportsLine']","['UEFA Europa League ', 'UEFA Champions League ']",Soccer (Football),2
Ovechkin,"['NHL.com', 'NHL.com']","['Stanley Cup ', 'NHL ']",Ice Hockey,2
Kalyan Chaubey,"['InsideSport', 'InsideSport']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
St Kilda,"['Fox Sports', 'Zero Hanger']","['AFL ', 'AFL ']",Rugby,2
Sassari,"['Eurohoops', 'Eurohoops']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Emmanuel Egbo,"['Yardbarker', 'Yardbarker']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Anthony Gordon,"['LiveScore', 'LiveScore']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Kevin Nagle,"['Yorkshire Live', 'Yorkshire Live']","['Fed Cup ', 'Thomas Cup ']",Tennis,2
Tuchel,"['Sportstar', 'Sportstar']","['UEFA Champions League ', 'Bundesliga ']",Soccer (Football),2
Adrien Rabiot,"['The Hard Tackle', 'FootballTransfers']","['UEFA Europa League ', 'Serie A ']",Soccer (Football),2
Toulouse,"['Inside World Football', 'Inside World Football']","['UEFA Europa League ', 'Ligue 1 ']",Soccer (Football),2
Dazes Opponent,"['Sports Brief', 'Sports Brief']","['UEFA Europa League ', 'Ligue 1 ']",Soccer (Football),2
Jeremy Doku Brother,"['Sports Brief', 'Sports Brief']","['UEFA Europa League ', 'Ligue 1 ']",Soccer (Football),2
Cukaricki,"['Sportskeeda', 'Sportskeeda']","['UEFA Europa League ', 'Serie A ']",Soccer (Football),2
Livestream Man City,"['CNET', 'CNET']","['Formula E ', 'UEFA Europa League ']",Motorsports,2
Sole Bidder,"['Human Rights Watch', 'Human Rights Watch']","['FIFA ', 'Summer Olympics ']",Soccer (Football),2
Boniface,"['Daily Post Nigeria', 'Daily Post Nigeria']","['UEFA Europa League ', 'Bundesliga ']",Soccer (Football),2
Endrick,"['Stadium Astro', 'The Daily Star']","['FIFA ', 'Copa Libertadores ']",Soccer (Football),2
Jamie Carragher,"['talkSPORT', 'talkSPORT']","['FIFA ', 'EPL ']",Soccer (Football),2
Trophy,"['ESPNcricinfo', 'Sportstar']","['ICC Cricket ', 'ICC Cricket ']",Cricket,2
Ibrahim Zadran,"['ANI News', 'Sportstar']","['ICC Cricket ', 'ICC Cricket ']",Cricket,2
Bhavna,"['Cricket Times', 'Cricket Times']","['ICC Cricket ', 'IPL ']",Cricket,2
Osimhen,"['Daily Post Nigeria', 'Daily Post Nigeria']","['UEFA Europa League ', 'Serie A ']",Soccer (Football),2
Shafali Verma,"['News18', 'News18']","['ICC Cricket ', 'IPL ']",Cricket,2
Slavia Prague,"['Sportskeeda', 'Sportskeeda']","['UEFA Europa League ', 'Serie A ']",Soccer (Football),2
Brighton,"['Khel Now', 'Sport Witness']","['UEFA Europa League ', 'Copa Libertadores ']",Soccer (Football),2
Haifa,"['Sportskeeda', 'Sportskeeda']","['UEFA Europa League ', 'La Liga ']",Soccer (Football),2
Villarreal Prediction,"['Sportskeeda', 'Sportskeeda']","['UEFA Europa League ', 'La Liga ']",Soccer (Football),2
Oliver Kahn,"['InsideSport', 'InsideSport']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Roger Pearce,"['TVBEurope', 'TVBEurope']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Jamie,"['NHL.com', 'NHL.com']","['Stanley Cup ', 'NHL ']",Ice Hockey,2
Backa Topola,"['Sports Mole', 'Sports Mole']","['UEFA Euro ', 'UEFA Euro ']",Soccer (Football),2
Family Affair,"['TAPinto.net', 'TAPinto.net']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Tottenham Hotspur,"['Soccernet.ng', 'Daily Mail']","['UEFA Europa League ', 'EPL ']",Soccer (Football),2
Justin Jefferson Surprises Vikings ,"['Vikings.com', 'Vikings.com']","['Summer Olympics ', 'NFL ']",Olympics,2
Chou Tien Chen,"['Insidethegames.biz', 'Insidethegames.biz']","['BWF World Championships ', 'Olympic Badminton ']",Badminton,2
Oleg Protopopov,"['The Washington Post', 'The Washington Post']","['Summer Olympics ', 'Winter Olympics ']",Olympics,2
Tasnim Mir,"['InsideSport', 'InsideSport']","['BWF World Championships ', 'BWF Super Series ']",Badminton,2
