title,processed_title,League Name,category
Alejandro Garnacho names his Manchester United man of the match v Everton,Alejandro Garnacho name Manchester United man match v Everton,other,Others
Manchester United target four winter signings as Ten Hag searches for boost,Manchester United target four winter signing ten Hag search boost,other,Others
Transfer Talk: Manchester United looking move Mason Mount on,transfer talk : Manchester United look move Mason Mount,other,Others
Ratcliffe to brutally dump Man Utd summer signing as Ten Hag told he can make four elite transfers in January,Ratcliffe brutally dump Man Utd summer signing ten Hag tell make four elite transfer January,other,Others
Man Utd plan ‘four January signings’ including Mason Mount and Raphael Varane replacements,Man Utd plan ' four January signing ' include Mason Mount Raphael Varane replacement,epl,Soccer
Man Utd tance' on Sofyan Amrabat after summer move revealed,Man Utd tance ' Sofyan Amrabat summer move reveal,other,Others
"Manchester United want four new signings in January transfer window, positions named","Manchester United want four new signing January transfer window , position name",other,Others
Man Utd targeting 'four winter signings' including potential Sofyan Amrabat replacement,Man Utd target ' four winter signing ' include potential Sofyan Amrabat replacement,epl,Soccer
Man Utd news: Bruno Fernandes explains gesture as Red Devils eye wonderkid transfer,Man Utd news : Bruno Fernandes explain gesture Red Devils eye wonderkid transfer,other,Others
Marcus Rashford dedicates Man Utd goal vs Everton to his late cousin after being handed penalty by Bruno Fernandes,Marcus Rashford dedicate Man Utd goal vs Everton late cousin hand penalty Bruno Fernandes,other,Others
Erik ten Hag sticks up for Bruno Fernandes after Roy Keane called out his 'absolutely bloody rubbish' praise o,Erik ten Hag stick Bruno Fernandes Roy Keane call ' absolutely bloody rubbish ' praise,other,Others
Bruno Fernandes explains why Marcus Rashford took penalty in Manchester United win over Everton,Bruno Fernandes explain Marcus Rashford take penalty Manchester United win Everton,other,Others
"FPL notes: Why Bruno gave Rashford the pen, Emery on Cash","FPL note : Bruno give Rashford pen , emery cash",other,Others
Marcus Rashford suffers family tragedy as Man Utd star dedicates Everton penalty,Marcus Rashford suffer family tragedy Man Utd star dedicate Everton penalty,other,Others
Why I gave Rashford penalty kick against Everton – Bruno Fernandes,I give Rashford penalty kick Everton – Bruno Fernandes,other,Others
Bruno Fernandes ended Man Utd captain debate with one gesture against Everton,Bruno Fernandes end Man Utd captain debate one gesture Everton,other,Others
Marcus Rashford announces heartbreaking news following his goal at Everton,Marcus Rashford announce heartbreake news follow goal Everton,other,Others
Marcus Rashford suffered family tragedy shortly before Man Utd match at Everton,Marcus Rashford suffer family tragedy shortly Man Utd match Everton,other,Others
Man Utd boss Ten Hag: Fernandes showed great leadership with Rashford penalty,Man Utd boss Ten hag : Fernandes show great leadership Rashford penalty,other,Others
Marcus Rashford dedicates goal in Manchester United win to late cousin in heartwarming social media post...,Marcus Rashford dedicate goal Manchester United win late cousin heartwarme social medium post ...,other,Others
Manchester United star Marcus Rashford dedicates Everton goal to his late cousin,Manchester United star Marcus Rashford dedicate Everton goal late cousin,other,Others
Video: ‘I felt…’ – Bruno Fernandes explains why he gave Marcus Rashford spot-kick vs Everton,video : ' I feel … ' – Bruno Fernandes explain give Marcus Rashford spot - kick vs Everton,other,Others
Bruno Fernandes hits back at criticism over Marcus Rashford penalty decision,Bruno Fernandes hit back criticism Marcus Rashford penalty decision,other,Others
Why Bruno gave Rashford the penalty,Bruno give Rashford penalty,other,Others
Revealed: Why Bruno Fernandes let Marcus Rashford take Man Utd penalty vs Everton & score just his second goal of ...,reveal : Bruno Fernandes let Marcus Rashford take Man Utd penalty vs Everton & score second goal ...,other,Others
Marcus Rashford dedicates his goal against Everton to his late cousin after breaking his eight-match drought..,Marcus Rashford dedicate goal Everton late cousin break eight - match drought ..,other,Others
Bruno Fernandes proved he a worthy Manchester United captain on and off the pitch vs Everton,Bruno Fernandes prove worthy Manchester United captain pitch vs Everton,other,Others
Why Bruno Fernandes let Marcus Rashford take Manchester United penalty vs Everton,Bruno Fernandes let Marcus Rashford take Manchester United penalty vs Everton,other,Others
Man Utd captain Bruno Fernandes praised for 'classy' Marcus Rashford gesture vs Everton,Man Utd captain Bruno Fernandes praise ' classy ' Marcus Rashford gesture vs Everton,other,Others
Steven Gerrard lifts lid on dressing room adness' as Fabinho gets double Liverpool reunion,Steven Gerrard lift lid dress room adness ' Fabinho get double Liverpool reunion,other,Others
Gerrard “full of sadness” as Fabinho reunited with Wijnaldum & Henderson,"Gerrard "" full sadness "" Fabinho reunite Wijnaldum & Henderson",other,Others
Steven Gerrard admits dressing room is 'full of sadness' as Jordan Henderson suffers more disappointment,Steven Gerrard admit dressing room ' full sadness ' Jordan Henderson suffer disappointment,other,Others
"Steven Gerrard admits his team are ""full of sadness"" as Jordan Henderson gets upstaged","Steven Gerrard admit team "" full sadness "" Jordan Henderson get upstaged",other,Others
"Suns 116-113 Knicks (Nov 26, 2023) Game Recap","sun 116 - 113 Knicks ( Nov 26 , 2023 ) Game recap",other,Others
Devin Booker References Double Teams When Captioning Game Winner,Devin Booker References Double Teams Captioning Game winner,other,Others
"Suns 116, Knicks 113: Lowercase “L”","sun 116 , Knicks 113 : Lowercase "" L """,other,Others
"Suns vs Knicks Picks, Predictions & Odds Tonight - NBA","sun vs Knicks Picks , Predictions & Odds Tonight - NBA",nba,Basketball
Devin Booker Game Winner Looked Eerily Similar to Nike Commercial,Devin Booker Game Winner look Eerily similar Nike Commercial,other,Others
Suns vs. Knicks Prediction & Picks - November 26,sun vs. Knicks Prediction & Picks - November 26,other,Others
"Suns vs. Knicks Final Score: Hustling Suns win on a Booker bomb, 116-113","sun vs. Knicks Final Score : Hustling Suns win Booker bomb , 116 - 113",other,Others
Julius Randle Player Prop Bets: Knicks vs. Suns | November 26,Julius Randle Player Prop Bets : Knicks vs. Suns | November 26,other,Others
Suns nip Knicks; Jokic drops 39 points as Nuggets rout Spurs,sun nip Knicks ; Jokic drop 39 point Nuggets rout spur,other,Others
"New York Knicks' Comeback Tour Frozen By Devin Booker, Phoenix Suns","New York Knicks ' Comeback Tour Frozen Devin Booker , Phoenix Suns",other,Others
"Knicks takeaways from Sunday 116-113 loss to Suns, including Jalen Brunson valiant effort","knick takeaway Sunday 116 - 113 loss Suns , include Jalen Brunson valiant effort",other,Others
"Devin Booker game-winning shot vs Knicks draws comparisons to his idol Kobe Bryant from Suns teammates, fans","Devin Booker game - win shot vs Knicks draw comparison idol Kobe Bryant Suns teammate , fan",mma,Fighting
"Game Thread: Knicks vs Suns, November 26, 2023","Game Thread : Knicks vs Suns , November 26 , 2023",other,Others
Devin Booker reacts to his game-winning shot vs Knicks,Devin Booker react game - win shot vs Knicks,other,Others
Knicks fall to Suns at MSG on Devin Booker three-pointer,knick fall sun MSG Devin Booker three - pointer,other,Others
Booker triple sinks Knicks as Suns win 6th in a row,booker triple sink Knicks Suns win 6th row,ipl,
Suns put six-game win streak up against Knicks,sun put six - game win streak Knicks,other,Others
Devin Booker leads shorthanded Suns to 7th straight victory in win vs. Knicks,Devin Booker lead shorthande Suns 7th straight victory win vs. Knicks,other,Others
Devin Booker reacted to his game-winner by recalling his beef with Joakim Noah about double teams,Devin Booker react game - winner recall beef Joakim Noah double team,other,Others
"Knicks vs. Suns odds, line, spread, start time: 2023 NBA picks, November 26 predictions from proven model","Knicks vs. Suns odd , line , spread , start time : 2023 NBA pick , November 26 prediction proven model",nba,Basketball
Suns’ Devin Booker Mocks Knicks Defense on IG Post After Game Winner,sun ' Devin Booker Mocks Knicks Defense IG Post Game Winner,other,Others
"Devin Booker stuns New York Knicks, hit ice cold 3 to lift Phoenix Suns","Devin Booker stun New York Knicks , hit ice cold 3 lift Phoenix Suns",other,Others
"Suns' Devin Booker, Jalen Brunson trade blows in wild finish","sun ' Devin Booker , Jalen Brunson trade blow wild finish",other,Others
Devin Booker late 3-pointer buries Knicks in crushing loss to Suns,Devin Booker late 3 - pointer burie Knicks crush loss sun,other,Others
"Phoenix Suns vs New York Knicks Prediction, 11/26/2023 Preview and Pick","Phoenix Suns vs New York Knicks Prediction , 11/26/2023 Preview Pick",other,Others
"Booker hits 3-pointer with 1.7 seconds left, Suns beat Knicks 116-113 for 7th straight win","booker hit 3 - pointer 1.7 second leave , Suns beat Knicks 116 - 113 7th straight win",other,Others
Stephen’s Study: Quick takeaways from the Suns dramatic win in New York,Stephen ’s study : quick takeaway Suns dramatic win New York,other,Others
Game Preview: Suns face off against Knicks in a Sunday afternoon matchup at MSG,Game Preview : sun face Knicks Sunday afternoon matchup MSG,other,Others
